name,prompt,negative_prompt
"ネオトラディショナル","neo-traditional style, tattoo inspired, bold outlines",""
"アニメセル画","anime cel animation style, frame-based coloring",""
"マンガトーン","manga tone, screentones, black and white shading",""
"リアルCGI","realistic CGI, photorealistic textures, lighting",""
"水彩淡彩","light watercolor wash, soft pastel palette",""
"色鉛筆画","colored pencil drawing, soft shading, texture",""
"チョークスケッチ","chalk sketch, textured lines, rough shading",""
"鉛筆クロッキー","pencil croquis, quick sketch, dynamic lines",""
"筆絵","brush painting, traditional ink, flowing strokes",""
"日本画風","nihonga style, traditional Japanese painting, mineral pigments",""
"浮世絵風","ukiyo-e style, woodblock print, flat colors, patterns",""
"西洋油絵風","western oil painting style, realistic textures",""
"印象派","impressionist style, loose brush strokes, color emphasis",""
"点描印象派","pointillist impressionism, dotted colors",""
"シュールリアリズム","surrealism, dreamlike composition, bizarre elements",""
"コンセプトイラストリアル","concept art realistic, cinematic, detailed lighting",""
"アートデコ","art deco style, geometric, decorative",""
"ミニマルCG","minimalist CGI, low detail, clean colors",""
"エクスプレッショニズム","expressionist painting, exaggerated colors, emotional",""
"ファンタジー水彩","fantasy watercolor, soft glowing light",""
"モノクロ鉛筆画","monochrome pencil drawing, shading emphasis",""
"デジタル線画","digital line art, clean outlines, consistent line weight",""
"線画着色済み","line art with flat color, cel shading",""
"水彩線画","line art with watercolor fill, soft blending",""
"油彩リアル背景","oil painted realistic background, detailed texture",""
"厚塗りデジタル","digital thick painting, textured brushwork",""
"パステル背景","pastel colored background, soft light",""
"カートゥーンセル塗り","cartoon style cel-shading, bold outlines",""
"幻想CGI","fantasy CGI, glowing effects, magical lighting",""
"低ポリCG","low poly CGI, simple geometric shapes",""
"写実主義","realistic art, accurate lighting and textures",""
"フォトマニピュレーション","photo manipulation, realistic composite",""
"リアルCG背景","realistic CGI environment, natural lighting",""
"抽象CG","abstract CGI, geometric patterns, surreal lighting",""
